,tweet_id
0,572346080911736832
1,572348198062170112
2,572319306387599360
3,572347842456522752
4,572347584339046402
5,572347419209252865
6,572347385889759232
7,572321733841063936
8,572346263426875392
9,572346235719323648
10,572332552016437249
11,595166563516329985
12,572331686156873728
13,572345888258981888
14,571853767047421952
15,572345440600907777
16,572345326004129792
17,572320554654425088
18,572344691443687425
19,572345137335967744
20,568340978861355008
21,572345016275771392
22,572344928069500929
23,572344614910349312
24,572344602469908480
25,572344515261931520
26,572344114332626944
27,572344083017936896
28,572329123604897792
29,572329120689864704
30,572329028129968128
31,572328982256857089
32,572328751775682560
33,572328684243185665
34,572328670657835008
35,572328669428891648
36,572328580455133184
37,572328574323052544
38,572328540890247168
39,572328492865486849
40,572328454227685376
41,572328445947981825
42,572328381976453120
43,572328354847694849
44,572328354281480192
45,572328280218472448
46,572328194482696192
47,572328124165197825
48,572328116598652929
49,572328088295456770
50,572327959517794304
51,572327942912548864
52,572327929138450432
53,572327916861702145
54,572327692218941440
55,572327680542167040
56,572327665820049409
57,572327633830088704
58,572327612443336704
59,572327609398272000
60,572327524878827520
61,572327502200221697
62,572327389415395328
63,572327287535759361
64,572327204064923648
65,572327152365903872
66,572327127464345600
67,572327126487048192
68,572327102692737024
69,572326958643605504
70,572326761674887168
71,572326513443393536
72,572326496288653312
73,572365561792868352
74,572365327234813954
75,572365057113239552
76,572364747674292225
77,572364514735226882
78,572363419002646529
79,572363367110717440
80,572362893489881088
81,572362439259369473
82,572362211395436544
83,572362119473070081
84,572361884235526145
85,572361378897399808
86,572360341486612480
87,572358728155979776
88,572358309509902338
89,572357570247057408
90,572357532137607168
91,572357483047460865
92,572357127303401472
93,572356916262805504
94,572356396630425601
95,572356307748954112
96,572355295076208640
97,572355275027443712
98,572355209000722432
99,572354833199439872
100,572354560980754432
101,572352765432709120
102,572352727369457666
103,572352188510412800
104,572352165999583233
105,572352034466209792
106,572351483007516672
107,572350786459447297
108,572349979873837056
109,572349765611962368
110,572349746490187776
111,572349743231193089
112,572349634388996096
113,572349397318569984
114,572349120003756033
115,572349038873325568
116,572347920185344000
117,575705043124502528
118,575669048911900672
119,575664274325950464
120,575653191020322816
121,575644999477370880
122,575642526151020544
123,575641645175083008
124,575641574094340096
125,575637851414528001
126,575636175274123264
127,575633558951231488
128,575631098727690242
129,575629849726881792
130,575626133799968769
131,575626084294623233
132,575625751036235777
133,575625445124632577
134,575623299276742656
135,575621318420254720
136,575617983382343680
137,575617555114516480
138,575616739360260096
139,575616650352795649
140,575616348987985920
141,575613637802381312
142,575612422117048320
143,575612056453300226
144,575609775020363776
145,575609228498366464
146,575609165978210304
147,575609035430432768
148,575608621209272320
149,575608147164839936
150,575608078743134208
151,575606037916426241
152,575606034435153921
153,575605675117539329
154,575604670975991808
155,575604590432878592
156,575604155944804352
157,575603927262986240
158,575601966832734208
159,575601899497369600
160,575601676528177152
161,575600646453358592
162,575600266080165890
163,575599814672412672
164,575599746162647040
165,575599591497723906
166,575599489806827522
167,575598954097717248
168,575598837819047937
169,575598817954791425
170,575598817183076352
171,575598798174576640
172,575598796672884737
173,575598795234410497
174,575598781510483968
175,575598776611536897
176,575598756260773889
177,575598345508401154
178,575597959649214466
179,575597837276282880
180,575597765226463233
181,575597554391457793
182,575597551434493952
183,575597410828873728
184,575597409973096448
